year,cpi
1981,50.78
1982,52.89
1983,53.59
1984,52.39
1985,51.32
1986,52.49
1987,53.12
1988,53.87
1989,57.23
1990,59.26
1991,59.88
1992,64.87
1993,66.87
1994,71.18
1995,74.25
1996,77.08
1997,76.54
1998,79.91
1999,79.33
2000,79.64
2001,78.93
2002,78.79
2003,78.73
2004,82.05
2005,88
2006,87.43
2007,89.93
2008,97.62
2009,97.19
2010,97.79
2011,100
2012,104.16
2013,105.48
2014,109.42
2015,112.84
